x	y
960	540
960	540
961	541
960	541
960	541
960	541
961	541
961	541
961	540
961	541
961	541
960	541
960	541
960	541
960	540
960	540
960	541
960	541
961	541
961	541
961	540
960	540
960	540
961	540
960	540
960	540
960	541
960	540
960	540
960	541
961	541
961	540
961	540
961	540
961	540
961	540
960	541
960	541
960	541
960	541
960	540
960	540
960	541
960	540
960	541
961	541
961	540
961	540
961	541
961	541
961	541
960	540
960	541
961	541
961	541
961	541
960	541
960	541
960	541
960	540
960	540
961	540
961	540
960	540
960	540
960	540
960	540
960	540
960	540
961	540
961	540
960	540
960	540
960	541
961	541
960	541
960	541
960	541
960	541
960	541
961	541
960	541
960	540
960	541
960	541
961	541
960	540
960	540
960	540
960	541
960	541
960	541
960	541
960	541
960	541
960	541
959	541
960	541
960	541
960	540
961	540
961	540
961	541
960	540
960	540
960	540
961	540
961	540
961	541
960	541
960	541
960	541
960	541
961	541
961	541
961	541
960	540
960	541
960	541
961	540
960	541
960	541
961	541
961	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
961	541
960	541
960	540
960	541
960	541
961	541
961	541
960	541
960	540
961	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	540
960	541
960	541
959	541
960	541
960	541
960	541
960	541
960	541
960	541
959	541
960	541
960	541
960	541
960	541
960	541
961	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
959	540
960	541
961	541
960	541
960	541
960	541
960	541
960	541
961	541
960	541
960	541
959	541
959	541
960	540
960	541
960	541
960	541
960	541
960	541
960	541
959	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
959	541
959	541
960	541
960	541
960	541
959	541
960	541
960	541
960	541
960	541
960	541
960	541
961	541
960	541
960	540
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	540
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
959	540
960	541
960	541
959	541
960	541
960	541
960	541
960	541
959	541
960	541
960	541
960	540
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	541
960	540
