x	y	angle
313	244	0.53
307	243	0.13
300	256	-0.33
287	266	-1.12
282	279	-1.51
274	282	-2.03
320	299	1.97
296	305	0.33
270	308	-1.31
246	312	-2.89
233	306	-3.74
227	302	-4.13
228	304	-4.07
231	305	-3.94
232	303	-3.81
231	300	-3.87
224	298	-4.40
213	297	-5.05
197	298	-6.10
179	300	-7.28
160	301	-8.53
142	299	-9.71
129	294	-10.63
119	289	-11.22
115	284	-11.48
110	280	-11.75
101	276	-12.40
88	277	-13.26
72	279	-14.31
60	280	-15.09
50	279	-15.75
42	279	-16.28
37	279	-16.47
39	278	-16.34
40	277	-16.28
41	277	-16.21
42	278	-16.14
42	280	-16.14
43	282	-16.08
43	283	-16.08
44	284	-16.01
46	286	-15.88
52	288	-15.49
58	289	-15.09
68	289	-14.44
77	291	-13.85
86	291	-13.26
97	292	-12.53
110	294	-11.68
127	295	-10.57
143	294	-9.52
159	293	-8.47
173	294	-7.55
182	295	-6.96
194	300	-6.17
215	303	-4.79
241	306	-3.08
266	308	-1.38
288	307	0.07
306	303	1.25
319	302	2.10
329	304	2.76
344	309	3.74
362	314	4.99
384	318	6.37
409	321	8.01
431	321	9.45
445	320	10.37
447	316	10.50
446	316	10.43
442	316	10.17
437	316	9.84
435	317	9.71
437	316	9.84
435	312	9.71
429	295	9.32
420	264	8.66
414	233	8.27
405	203	7.68
400	184	7.35
397	173	7.22
396	170	7.15
395	167	7.09
392	165	6.89
385	166	6.43
375	169	5.78
357	172	4.59
331	175	2.89
299	178	0.79
260	188	-1.77
225	195	-4.07
190	197	-6.37
163	194	-8.14
143	191	-9.45
130	186	-10.30
121	182	-10.89
117	179	-11.16
117	181	-11.16
114	185	-11.35
106	195	-11.88
105	214	-11.94
106	242	-11.88
111	267	-11.55
116	303	-11.22
123	342	-10.76
129	375	-10.37
139	398	-9.71
146	408	-9.25
156	414	-8.60
172	410	-7.55
210	396	-5.12
238	374	-3.28
258	355	-1.97
275	343	-0.85
290	337	0.13
301	332	0.85
311	330	1.51
318	322	1.97
325	311	2.43
329	300	2.69
328	292	2.62
322	289	2.23
317	289	1.90
308	285	1.31
304	284	1.05
298	285	0.66
295	287	0.46
291	290	0.20
289	294	0.07
286	299	-0.13
283	305	-0.33
279	311	-0.59
273	317	-1.05
267	321	-1.44
262	322	-1.84
258	324	-2.10
256	325	-2.23
256	325	-2.23
257	325	-2.17
259	323	-2.03
261	317	-1.90
266	312	-1.57
271	308	-1.31
273	300	-1.18
272	296	-1.25
270	293	-1.38
267	290	-1.57
266	289	-1.64
265	289	-1.71
266	288	-1.64
266	287	-1.57
270	292	-1.31
274	298	-1.05
281	302	-0.59
284	305	-0.39
286	309	-0.26
285	316	-0.26
281	322	-0.53
277	328	-0.79
275	330	-0.92
271	332	-1.18
268	332	-1.31
268	336	-1.31
268	337	-1.31
267	338	-1.38
267	341	-1.38
266	342	-1.38
262	345	-1.57
261	345	-1.64
261	347	-1.64
262	347	-1.57
260	344	-1.71
260	342	-1.71
262	341	-1.57
263	341	-1.51
264	343	-1.44
265	343	-1.38
265	342	-1.38
266	341	-1.31
267	341	-1.25
268	341	-1.18
269	342	-1.12
268	343	-1.18
267	344	-1.25
267	346	-1.25
265	344	-1.38
263	339	-1.51
262	336	-1.57
263	329	-1.51
264	320	-1.44
258	312	-1.84
245	305	-2.69
223	304	-4.13
200	304	-5.64
182	303	-6.83
168	298	-7.74
152	290	-8.79
147	283	-9.12
152	279	-8.79
165	277	-7.94
186	275	-6.56
210	275	-4.99
240	275	-3.02
267	274	-1.25
295	274	0.59
323	274	2.43
351	278	4.27
379	283	6.10
404	286	7.74
425	289	9.12
439	288	10.04
445	286	10.43
448	284	10.63
446	282	10.50
439	282	10.04
421	283	8.86
395	290	7.15
366	296	5.25
326	302	2.62
286	305	0.00
254	308	-2.10
228	308	-3.81
209	308	-5.05
189	311	-6.37
173	317	-7.42
161	322	-8.20
150	326	-8.92
132	330	-10.11
114	334	-11.29
104	337	-11.94
103	333	-12.01
104	323	-11.94
106	301	-11.81
104	275	-11.94
101	253	-12.14
97	236	-12.40
97	225	-12.40
98	221	-12.34
102	220	-12.07
112	221	-11.42
129	225	-10.30
153	232	-8.73
177	236	-7.15
186	237	-6.56
184	239	-6.69
183	241	-6.76
184	247	-6.69
192	257	-6.17
206	267	-5.25
224	282	-4.07
244	293	-2.76
259	294	-1.77
264	293	-1.44
271	294	-0.98
279	295	-0.46
285	301	-0.07
290	325	0.26
286	343	0.00
287	354	0.07
288	366	0.13
286	374	0.00
286	382	0.00
294	388	0.53
301	393	0.98
302	398	1.05
303	402	1.12
308	403	1.44
311	407	1.64
313	407	1.77
316	408	1.97
318	411	2.10
318	415	2.10
318	415	2.10
